F10 B545 B81 B192 B987 , 1825, 2452
F18 B935 B540 B985 B389 , 11, 24
F93 B619 B744 , 44, 45
F31 B272 B625 , 1190, 1250
F34 B448 B123 B285 B214 B149 , 1148, 1288
F18 B700 B963 , 1, 1
F96 B602 B235 B818 B482 , 41, 1772
F34 B511 B886 B536 B834 B16 B970 B633 , 14, 28
F37 B647 B495 , 28, 28
F77 B173 B144 B520 , 1612, 1939
F77 B520 B320 , 1612, 1829
F58 B461 B601 B252 , 26, 54
F2 B795 B417 B534 B480 B295 B695 , 26, 81
F77 B173 B766 , 27, 1722
F47 B158 B132 B572 B559 B844 B823 B574 , 22, 51
F87 B889 B296 B712 , 8, 8
F82 B10 B329 , 12, 24
F64 B211 B933 B539 B818 B127 B477 B490 , 11, 645
F47 B259 B625 B243 , 22, 1689
F24 B198 B396 B831 B380 , 19, 19
F23 B878 B2 B139 , 32, 68
F25 B96 B897 B38 , 512, 638
F62 B398 B193 , 571, 645
F62 B93 B443 , 10, 12
F77 B864 B20 B767 B267 , 27, 33
F20 B267 B726 B763 B755 B579 B255 B507 , 571, 836
F47 B194 B456 B846 , 22, 25
F42 B437 B78 , 42, 1864
F90 B346 B867 B107 B700 B740 , 13, 594
F2 B429 B600 B244 B505 B782 B388 , 26, 1773
F77 B173 B864 B20 B767 B267 , 27, 1727
F100 B437 B831 B148 , 3913, 4146
F29 B729 B848 B122 B963 , 11, 25
F87 B752 B999 , 8, 8
F64 B658 B465 B40 , 10, 13
F45 B691 B963 B835 , 34, 1801
F77 B731 B675 B503 , 27, 30
F62 B950 B367 B728 B994 B842 B726 B650 , 9, 19
F60 B201 B159 B344 B765 , 36, 40
F5 B959 B137 , 480, 542
F64 B211 B765 B712 B106 B841 B653 B715 B853 , 10, 616
F82 B329 B363 B34 B176 , 12, 12
F5 B616 B164 B566 B381 B16 B963 , 8, 27
F60 B344 B765 B473 , 36, 41
F5 B521 B364 B668 B263 , 1, 30
F42 B437 B78 B255 , 42, 1864
F55 B40 B786 , 43, 44
F18 B643 B172 B951 , 11, 11
F62 B887 B820 B793 B454 B210 B848 B771 , 9, 611
F5 B257 B887 B556 B963 B604 B521 , 1, 2017
F74 B414 B187 B315 B101 B586 B696 , 292, 454
F37 B928 B205 B185 , 1064, 1232
F55 B746 B934 , 43, 86
F5 B34 B216 , 8, 17
F90 B353 B674 B176 B497 B249 , 13, 14
F20 B769 B784 B150 B154 B602 , 1, 50
F18 B529 B980 B202 B935 , 11, 554
F77 B766 B829 , 27, 28
F18 B935 B540 , 11, 13
F60 B390 B678 , 36, 74
F74 B889 B931 , 1, 2
F75 B16 B459 B899 B257 , 30, 557
F96 B602 B235 , 41, 1771
F5 B370 B729 B451 B149 B136 B270 , 8, 20
F48 B922 B44 , 571, 655
F20 B154 B602 , 1, 25
F64 B191 B527 , 1, 614
F96 B170 B931 , 41, 43
F64 B211 B191 B334 B959 B850 B738 B549 B997 , 571, 907
F77 B173 B766 B829 B552 B139 , 27, 1724
F58 B664 B14 B42 B461 B601 B252 B416 , 26, 57
