S.No., File Name, HDFS Replications, FBAP Replications
1, F1, 3,2
2, F2, 3,3
3, F3, 3,2
4, F4, 3,2
5, F5, 3,3
6, F6, 3,3
7, F7, 3,2
8, F8, 3,2
9, F9, 3,2
10, F10, 3,3
11, F11, 3,2
12, F12, 3,2
13, F13, 3,4
14, F14, 3,3
15, F15, 3,2
16, F16, 3,3
17, F17, 3,2
18, F18, 3,3
19, F19, 3,2
20, F20, 3,3
21, F21, 3,2
22, F22, 3,2
23, F23, 3,3
24, F24, 3,4
25, F25, 3,4
26, F26, 3,3
27, F27, 3,4
28, F28, 3,3
29, F29, 3,3
30, F30, 3,2
31, F31, 3,4
32, F32, 3,2
33, F33, 3,2
34, F34, 3,4
35, F35, 3,2
36, F36, 3,2
37, F37, 3,4
38, F38, 3,2
39, F39, 3,4
40, F40, 3,2
41, F41, 3,2
42, F42, 3,3
43, F43, 3,2
44, F44, 3,2
45, F45, 3,3
46, F46, 3,2
47, F47, 3,3
48, F48, 3,3
49, F49, 3,2
50, F50, 3,2
51, F51, 3,2
52, F52, 3,2
53, F53, 3,2
54, F54, 3,2
55, F55, 3,3
56, F56, 3,2
57, F57, 3,2
58, F58, 3,3
59, F59, 3,2
60, F60, 3,3
61, F61, 3,2
62, F62, 3,3
63, F63, 3,2
64, F64, 3,3
65, F65, 3,2
66, F66, 3,2
67, F67, 3,2
68, F68, 3,2
69, F69, 3,2
70, F70, 3,2
71, F71, 3,2
72, F72, 3,2
73, F73, 3,2
74, F74, 3,3
75, F75, 3,4
76, F76, 3,2
77, F77, 3,3
78, F78, 3,2
79, F79, 3,2
80, F80, 3,3
81, F81, 3,2
82, F82, 3,3
83, F83, 3,2
84, F84, 3,2
85, F85, 3,2
86, F86, 3,2
87, F87, 3,3
88, F88, 3,2
89, F89, 3,2
90, F90, 3,3
91, F91, 3,2
92, F92, 3,2
93, F93, 3,3
94, F94, 3,2
95, F95, 3,2
96, F96, 3,3
97, F97, 3,3
98, F98, 3,2
99, F99, 3,2
100, F100, 3,2
